PROJECT,NO_TEST,NO_ALGO,NO_ACCURACY,NO_ATTACK_CHECK
../../Data/supervised/GITLAB_REPOS//mynameisfiber@keras,0,0,1,1
../../Data/supervised/GITLAB_REPOS//jamieoglindsey0@chainer,0,1,1,1
../../Data/supervised/GITLAB_REPOS//ajesse11x@spinningup,0,1,1,1
../../Data/supervised/GITLAB_REPOS//chaitanya_kaul@petastorm,0,1,1,1
../../Data/supervised/GITLAB_REPOS//mmmickmason2@incubator-mxnet,0,1,1,1
../../Data/supervised/GITLAB_REPOS//Rinoahu@OpenDeep,0,1,1,1
../../Data/supervised/GITLAB_REPOS//cheney.yan@BerryNet,0,1,1,1
../../Data/supervised/GITLAB_REPOS//juhlik@spinningup,0,1,1,1
../../Data/supervised/GITLAB_REPOS//Spence@mxnet-lambda,0,1,1,1
../../Data/supervised/GITLAB_REPOS//mmazuecos@fathom,0,1,1,1
../../Data/supervised/GITLAB_REPOS//chaitanya_kaul@spark-deep-learning,0,1,1,1
../../Data/supervised/GITLAB_REPOS//flapedriza@neural_chat,0,1,1,1
../../Data/supervised/GITLAB_REPOS//afzalhmd14@tflearn,0,1,1,1
../../Data/supervised/GITLAB_REPOS//Spence@petastorm,0,1,1,1
../../Data/supervised/GITLAB_REPOS//dankiman@TTS,0,1,1,1
../../Data/supervised/GITLAB_REPOS//susan13@incubator-tvm,1,1,1,1
../../Data/supervised/GITLAB_REPOS//satelligence@classifier,1,1,1,1
../../Data/supervised/GITLAB_REPOS//sixsamuraisoldier@DIGITS,1,1,1,1
../../Data/supervised/GITLAB_REPOS//pahdo@tf-stanford-tutorials,1,1,1,1
../../Data/supervised/GITLAB_REPOS//ckraju@fastai,1,1,1,1
../../Data/supervised/GITLAB_REPOS//craynn@craynn,1,1,1,1
../../Data/supervised/GITLAB_REPOS//omair.hassaan@neural-networks-and-deep-learning,1,1,1,1
../../Data/supervised/GITLAB_REPOS//admin-github-cloud@keras,1,1,1,1
../../Data/supervised/GITLAB_REPOS//dinoforcered@DeepLearningZeroToAll,1,1,1,1
../../Data/supervised/GITLAB_REPOS//van-manh-vo@data-science-ipython-notebooks,1,1,1,1
../../Data/supervised/GITLAB_REPOS//jfolz@crumpets,1,1,1,1
../../Data/supervised/GITLAB_REPOS//bytehackr@DeepFaceLab,1,1,1,1
../../Data/supervised/GITLAB_REPOS//aliyousefian@dgl,1,1,1,1
../../Data/supervised/GITLAB_REPOS//petronetto@neural-networks-and-deep-learning,1,1,1,1
../../Data/supervised/GITLAB_REPOS//xuwei1119@pytorch-tutorial,1,1,1,1
../../Data/supervised/GITLAB_REPOS//opickers90@keras,1,1,1,1
../../Data/supervised/GITLAB_REPOS//admin-github-cloud@neon,1,1,1,1
../../Data/supervised/GITLAB_REPOS//github-cloud-corporation@neon,1,1,1,1
../../Data/supervised/GITLAB_REPOS//yogeshc@deeppy,1,1,1,1
../../Data/supervised/GITLAB_REPOS//tlsehdgus0212@deep-learning-from-scratch,1,1,1,1
../../Data/supervised/GITLAB_REPOS//zhiyue@DeepFaceLab,1,1,1,1
../../Data/supervised/GITLAB_REPOS//VojtaHavlicek@neural-networks-and-deep-learning,1,1,1,1
../../Data/supervised/GITLAB_REPOS//dominicusin@DeepFaceLab,1,1,1,1
../../Data/supervised/GITLAB_REPOS//aice@synapse,1,1,1,1
../../Data/supervised/GITLAB_REPOS//rytekinc@DeepFaceLab,1,1,1,1
../../Data/supervised/GITLAB_REPOS//jar-no1@deep-learning,1,1,1,1
../../Data/supervised/GITLAB_REPOS//3manuek@deeppy,1,1,1,1
../../Data/supervised/GITLAB_REPOS//xSavitar@pytorch-tutorial,1,1,1,1
../../Data/supervised/GITLAB_REPOS//muchlisinadi@pytorch-template,1,1,1,1
../../Data/supervised/GITLAB_REPOS//Spence@keras,1,1,1,1
../../Data/supervised/GITLAB_REPOS//xuwei1119@luminoth,1,1,1,1
../../Data/supervised/GITLAB_REPOS//ttungl@keras,1,1,1,1
../../Data/supervised/GITLAB_REPOS//cyneck@pytorch-tutorial,1,1,1,1
../../Data/supervised/GITLAB_REPOS//github-cloud-corporation@keras,1,1,1,1
../../Data/supervised/GITLAB_REPOS//classical-machine-learning@neural-networks-and-deep-learning,1,1,1,1
../../Data/supervised/GITLAB_REPOS//ph76290@neural-networks-and-deep-learning,1,1,1,1
../../Data/supervised/GITLAB_REPOS//Maix5@keras,1,1,1,1
../../Data/supervised/GITLAB_REPOS//AMGMNPLK@pytorch_geometric,1,1,1,1
../../Data/supervised/GITLAB_REPOS//tormax@DeepLearningZeroToAll,1,1,1,1
../../Data/supervised/GITLAB_REPOS//schultzca@neural-networks-and-deep-learning,1,1,1,1
../../Data/supervised/GITLAB_REPOS//jimit105@Deep-Learning-Specialization,1,1,1,1
../../Data/supervised/GITLAB_REPOS//takertao@Distributed-Deep-Learning-Sovrin,1,1,1,1
../../Data/supervised/GITLAB_REPOS//wqw547243068@DeepLearningZeroToAll,1,1,1,1
../../Data/supervised/GITLAB_REPOS//keshavashiya@keras,1,1,1,1
../../Data/supervised/GITLAB_REPOS//xuwei1119@torchcv,1,1,1,1
../../Data/supervised/GITLAB_REPOS//ikulyatin@baselines,1,1,1,1
../../Data/supervised/GITLAB_REPOS//wilane@neural-networks-and-deep-learning,1,1,1,1
../../Data/supervised/GITLAB_REPOS//yukitanaka@pytorch-template,1,1,1,1
../../Data/supervised/GITLAB_REPOS//vdelatorrelabs@DeepLearningImplementations,1,1,1,1
../../Data/supervised/GITLAB_REPOS//brihat9135@keras,1,1,1,1
../../Data/supervised/GITLAB_REPOS//jamesluhz@elephas,1,1,1,1
../../Data/supervised/GITLAB_REPOS//,1,1,1,1
