PROJECT,NO_TEST,NO_ALGO,NO_ACCURACY,NO_ATTACK_CHECK
../../Data/supervised/MODELZOO//COMPUTER_VISION/tensorflow@models,0,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/facebookresearch@maskrcnn-benchmark,0,1,1,1
../../Data/supervised/MODELZOO//NATURAL_LANGUAGE_PROCESSING/IBM@pytorch-seq2seq,0,1,1,1
../../Data/supervised/MODELZOO//AUDIO_SPEECH/SeanNaren@deepspeech.pytorch,0,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/CSAILVision@semantic-segmentation-pytorch,0,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/divamgupta@image-segmentation-keras,0,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/tymokvo@AEGeAN,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/pfnet-research@chainer-LSGAN,1,1,1,1
../../Data/supervised/MODELZOO//AUDIO_SPEECH/ibab@tensorflow-wavenet,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/LMescheder@GAN_stability,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/zsdonghao@Unsup-Im2Im,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/seungwonpark@RandWireNN,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/awentzonline@image-analogies,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/Lextal@pspnet-pytorch,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/LeeJuly30@L-GM-Loss-For-Gluon,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/zsdonghao@text-to-image,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/aosokin@biogans,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/nicklhy@AdversarialAutoEncoder,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/luoxier@CycleGAN_Tensorlayer,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/jalola@improved-wgan-pytorch,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/tensorlayer@srgan,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/tdeboissiere@DeepLearningImplementations,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/kentsyx@Neural-IMage-Assessment,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/ascust@SEC-MXNet,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/felixgwu@img_classification_pk_pytorch,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/scaelles@DEXTR-PyTorch,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/smallcorgi@Faster-RCNN_TF,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/TuSimple@sparse-structure-selection,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/ijkguo@mx-rcnn,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/longcw@faster_rcnn_pytorch,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/jessemelpolio@Faster_RCNN_for_DOTA,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/shelhamer@fcn.berkeleyvision.org,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/NVIDIA@FastPhotoStyle,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/gliese581gg@YOLO_tensorflow,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/fxia22@pointnet.pytorch,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/pfnet-research@chainer-ADDA,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/SKTBrain@DiscoGAN,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/github-pengge@PyTorch-progressive_growing_of_gans,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/ptrblck@prog_gans_pytorch_inference,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/zalandoresearch@famos,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/akanimax@pro_gan_pytorch,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/jmtomczak@vae_vampprior,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/LynnHo@AttGAN-Tensorflow,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/KupynOrest@DeblurGAN,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/akanimax@T2F,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/stitchfix@fauxtograph,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/twtygqyy@pytorch-SRResNet,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/yunjey@stargan,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/iPRoBe-lab@semi-adversarial-networks,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/RyotaKatoh@chainer-Variational-AutoEncoder,1,1,1,1
